so_code	sms_tag	network_type	formatted_datetime	error_code	report_app_package	report_app_ver	node_id	firmware_version
45	110020832526 	1	2024.6.17 0:22	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
56	110020820069 	1	2024.6.17 0:22	E134	quantum	core.1.020		00.01.1300
43	110020746724 	2	2024.6.17 0:23	E-2000	com.hello.sds	1.00.02	N130	00.01.1300
63	110020951304 	1	2024.6.17 0:23	E134	quantum	core.1.020		00.01.1300
54	110020749344 	1	2024.6.17 0:23	E134	quantum	core.1.020		00.01.1300
43	110020751933 	1	2024.6.17 0:23	E134	quantum	core.1.020		00.01.1300
52	110020958929 	1	2024.6.17 0:24	E134	quantum	core.1.020		00.01.1300
42	110020766367 	1	2024.6.17 0:24	LE:-1	com.hello.android.tv	2024-04-04_S001_ARDI_v_1.01.06	N100	00.01.1300
56	110020733537 	1	2024.6.17 0:24	E134	quantum	core.1.020		00.01.1300
45	110020832526 	1	2024.6.17 0:24	E-2000	com.hello.sds	1.00.02	N120	00.01.1300
52	110020877477 	1	2024.6.17 0:24	E134	quantum	core.1.020		00.01.1300
43	110020746724 	2	2024.6.17 0:25	E-2000	com.hello.sds	1.00.02	N130	00.01.1300
57	110020824660 	2	2024.6.17 0:26	E134	quantum	core.1.020		00.01.1300
43	TB202405310000337803	2	2024.6.17 0:26	1003	com.hello.android.tv	2024-06-14_S001_ARDI_v_1.01.09	N020	00.01.1300
55	110021019334 	1	2024.6.17 0:11	9999	com.hello.android.tv	2024-01-25_S001_ARDI_v_0.09.02	N052	00.01.1300
56	110020733486 	1	2024.6.17 0:26	E-201	com.krms.system	1.0.0		00.01.1300
51	110020802576 	1	2024.6.17 0:26	E134	quantum	core.1.020		00.01.1300
59	110020493532 	1	2024.6.17 0:27	404	com.hello.android.tv	2024-04-04_S001_ARDI_v_1.01.06	N030	00.01.1300
